# nyaa/1191282 Pokemon.S01-S19.DUBBED.WEBRip.AAC.2.0.x264-SRS（取 S01E01-E04）
Pokemon.S01-S19.DUBBED.WEBRip.AAC.2.0.x264-SRS/Pokemon S01 1080p WEBRip AAC 2.0 x264 CC/NFO Files/Pokemon.S01E01.Pokemon.I.Choose.You.DUBBED.UPSCALED.1080p.WEBRip.AAC.2.0.x264-SRS.nfo	721
Pokemon.S01-S19.DUBBED.WEBRip.AAC.2.0.x264-SRS/Pokemon S01 1080p WEBRip AAC 2.0 x264 CC/NFO Files/Pokemon.S01E02.Pokemon.Emergency.DUBBED.UPSCALED.1080p.WEBRip.AAC.2.0.x264-SRS.nfo	718
Pokemon.S01-S19.DUBBED.WEBRip.AAC.2.0.x264-SRS/Pokemon S01 1080p WEBRip AAC 2.0 x264 CC/NFO Files/Pokemon.S01E03.Ash.Catches.a.Pokemon.DUBBED.UPSCALED.1080p.WEBRip.AAC.2.0.x264-SRS.nfo	722
Pokemon.S01-S19.DUBBED.WEBRip.AAC.2.0.x264-SRS/Pokemon S01 1080p WEBRip AAC 2.0 x264 CC/NFO Files/Pokemon.S01E04.Challenge.of.the.Samurai.DUBBED.UPSCALED.1080p.WEBRip.AAC.2.0.x264-SRS.nfo	725
Pokemon.S01-S19.DUBBED.WEBRip.AAC.2.0.x264-SRS/Pokemon S01 1080p WEBRip AAC 2.0 x264 CC/SRT Subtitles/Pokemon.S01E01.Pokemon.I.Choose.You.DUBBED.UPSCALED.1080p.WEBRip.AAC.2.0.x264-SRS.srt	30618
Pokemon.S01-S19.DUBBED.WEBRip.AAC.2.0.x264-SRS/Pokemon S01 1080p WEBRip AAC 2.0 x264 CC/SRT Subtitles/Pokemon.S01E02.Pokemon.Emergency.DUBBED.UPSCALED.1080p.WEBRip.AAC.2.0.x264-SRS.srt	30822
Pokemon.S01-S19.DUBBED.WEBRip.AAC.2.0.x264-SRS/Pokemon S01 1080p WEBRip AAC 2.0 x264 CC/SRT Subtitles/Pokemon.S01E03.Ash.Catches.a.Pokemon.DUBBED.UPSCALED.1080p.WEBRip.AAC.2.0.x264-SRS.srt	29901
Pokemon.S01-S19.DUBBED.WEBRip.AAC.2.0.x264-SRS/Pokemon S01 1080p WEBRip AAC 2.0 x264 CC/SRT Subtitles/Pokemon.S01E04.Challenge.of.the.Samurai.DUBBED.UPSCALED.1080p.WEBRip.AAC.2.0.x264-SRS.srt	26726
Pokemon.S01-S19.DUBBED.WEBRip.AAC.2.0.x264-SRS/Pokemon S01 1080p WEBRip AAC 2.0 x264 CC/Pokemon.S01E01.Pokemon.I.Choose.You.DUBBED.UPSCALED.1080p.WEBRip.AAC.2.0.x264-SRS.mkv	846515405
Pokemon.S01-S19.DUBBED.WEBRip.AAC.2.0.x264-SRS/Pokemon S01 1080p WEBRip AAC 2.0 x264 CC/Pokemon.S01E02.Pokemon.Emergency.DUBBED.UPSCALED.1080p.WEBRip.AAC.2.0.x264-SRS.mkv	845991117
Pokemon.S01-S19.DUBBED.WEBRip.AAC.2.0.x264-SRS/Pokemon S01 1080p WEBRip AAC 2.0 x264 CC/Pokemon.S01E03.Ash.Catches.a.Pokemon.DUBBED.UPSCALED.1080p.WEBRip.AAC.2.0.x264-SRS.mkv	847773696
Pokemon.S01-S19.DUBBED.WEBRip.AAC.2.0.x264-SRS/Pokemon S01 1080p WEBRip AAC 2.0 x264 CC/Pokemon.S01E04.Challenge.of.the.Samurai.DUBBED.UPSCALED.1080p.WEBRip.AAC.2.0.x264-SRS.mkv	848193126
