# nyaa/2060610 [Galactic] One Piece – E795-E940 [USBD Remux 1080p AVC Dual-Audio TrueHD 2.0 + DD 2.0]（取部分正片与 Other/）
[Galactic] One Piece – E795-E940 [USBD Remux 1080p AVC Dual-Audio TrueHD 2.0 + DD 2.0]/One Piece - S18E795 - A Giant Ambition! Big Mom and Caesar!.mkv	6335076762
[Galactic] One Piece – E795-E940 [USBD Remux 1080p AVC Dual-Audio TrueHD 2.0 + DD 2.0]/One Piece - S18E796 - The Land of Souls! Mom's Fatal Ability!.mkv	6335076762
[Galactic] One Piece – E795-E940 [USBD Remux 1080p AVC Dual-Audio TrueHD 2.0 + DD 2.0]/One Piece - S18E797 - A Top Officer! The Sweet 3 General Cracker Appears!.mkv	6335076762
[Galactic] One Piece – E795-E940 [USBD Remux 1080p AVC Dual-Audio TrueHD 2.0 + DD 2.0]/One Piece - S18E798 - An Enemy Worth 800 Million! Luffy vs. Thousand Armed Cracker!.mkv	6335076762
[Galactic] One Piece – E795-E940 [USBD Remux 1080p AVC Dual-Audio TrueHD 2.0 + DD 2.0]/One Piece - S18E799 - An All-out Duel! Gear Four vs. the Bis-Bis Ability.mkv	6335076762
[Galactic] One Piece – E795-E940 [USBD Remux 1080p AVC Dual-Audio TrueHD 2.0 + DD 2.0]/One Piece - S18E800 - The First and the Second Join! The Vinsmoke Family!.mkv	6335076762
[Galactic] One Piece – E795-E940 [USBD Remux 1080p AVC Dual-Audio TrueHD 2.0 + DD 2.0]/Other/One Piece - NCOP 19b.mkv	650221978
[Galactic] One Piece – E795-E940 [USBD Remux 1080p AVC Dual-Audio TrueHD 2.0 + DD 2.0]/Other/One Piece - NCOP 20a.mkv	535822336
[Galactic] One Piece – E795-E940 [USBD Remux 1080p AVC Dual-Audio TrueHD 2.0 + DD 2.0]/Other/One Piece - NCOP 20b.mkv	535507763
[Galactic] One Piece – E795-E940 [USBD Remux 1080p AVC Dual-Audio TrueHD 2.0 + DD 2.0]/Other/One Piece - NCOP 20c.mkv	535507763
[Galactic] One Piece – E795-E940 [USBD Remux 1080p AVC Dual-Audio TrueHD 2.0 + DD 2.0]/Other/One Piece - NCOP 20d.mkv	535402906
[Galactic] One Piece – E795-E940 [USBD Remux 1080p AVC Dual-Audio TrueHD 2.0 + DD 2.0]/Other/One Piece - NCOP 20e.mkv	535717478
